System	Concurrency	RequestsPerSec	LatencyAvg	Latency50	Latency90	Latency99
akka	1	2316	2.181	0.400	0.460	140.828
node	1	3712	0.283	0.245	0.300	0.483
akka	2	3246	41.546	0.440	168.100	258.630
node	2	5854	0.350	0.296	0.486	0.692
akka	4	4592	44.666	0.565	213.366	213.377
node	4	6045	0.702	0.583	0.937	1.269
akka	8	8539	17.041	0.692	26.864	210.824
node	8	6866	1.187	1.156	1.455	3.455
akka	16	11191	18.018	1.121	11.073	232.405
node	16	6870	2.402	2.228	2.908	5.771
akka	32	11468	25.340	2.365	32.723	258.320
node	32	7276	4.469	4.243	5.537	8.718
akka	64	11394	28.013	5.087	149.537	262.200
node	64	7451	8.707	8.287	10.899	15.237
akka	128	11412	27.248	10.498	55.161	234.687
node	128	7527	17.184	16.519	21.327	26.540
akka	256	11426	29.071	21.045	44.426	192.702
node	256	7382	34.959	33.880	42.920	51.195
